timeCondition,subj_idx,ID,hourDiff21
months3,0,02d10aa2ee456550830fd62e02,2064.0667
months3,1,09a8e677404fe1908a1880b2f4,2096.4333
months3,2,13bd32856c2fa9ebecb0a6a023,2229.45
months3,3,18d97294ee22345852115c7e7c,2067.0833
months3,4,239125741efcfd6af1385e1b16,2091.9333
months3,5,25c73bdd21c8ea042e734ec81d,2094.4
months3,6,313c6a0a263fcdd57a5837a695,2064.0333
months3,7,3655f2f40f8aa2dc1217b3e486,2230.8333
months3,8,383920ef9af45869d788ee09ac,2072.4833
months3,9,3fe19122e0ac425827b1b850de,2330.65
months3,10,41293b70bfb6fa793908e9542c,2092.4833
months3,11,45c463fc7cf5cc02089a340871,2063.7833
months3,12,4ab71e6e3f3bf9f9c8a2903cab,2090.2167
months3,13,5116832445ea7a3825d844050a,2235.3833
months3,14,51de0b62e74bae376fbe6a7d45,2137.5
months3,15,544c3dcbc96bf4b594bbcdb1b2,2127.65
months3,16,5ce7824ba10256e36258c4d765,2066.65
months3,17,63ce5b9bdc7ed880beeed4744e,2138.4333
months3,18,753480c230cb10eb5caecadaa6,2137.75
months3,19,789152148587fd49d519f4328e,2065.15
months3,20,7c4f27fc93fe4e5bad519677f3,2237.2333
months3,21,7d89f35574ab6207cd37666c91,2090.6
months3,22,94892618350a0dad64a4153403,2275.6167
months3,23,9a89b2755fb9982dba8dda9bd7,2060.8167
months3,24,9be9f33901557537055d06f214,2115.4
months3,25,a383d6c37ee8a8fee5bb7948cb,2065.9833
months3,26,b0b1a6811419275c46284d036f,2088.4
months3,27,ba0183598a7afee47b288fff0b,2118
months3,28,df51ba08c291771c1784577992,2111.8333
months3,29,ff689787b2da69490f22f052f1,2063.1167
